Project,Disection Date,Name,Fish Species,Fish ID,Stomach ID ,Site,Collection Date,Prey Common Name,Prey Wet Weight (g),Prey,# Prey ,Prey Conditions (1-5),Notes
BOEM,45548,Dannette,Thread Herring,THH013,THH013gc,EI2,45516,anchovy,3.8,anchovy,11,3-4,good
BOEM,45559,Dannette,Pinfish,PIN039,PIN039gc,WO1,45435,snails,2,mollusca,20,,
BOEM,45569,Dannette,Pinfish,PIN072,PIN072gc,EI2,45434,biomatter,1.3,biomatter,,larvae?,
BOEM,45572,EG,Pinfish,PIN079,PIN079gc,WI2,45517,anchovy,2.72,anchovy,8,,
BOEM,45573,Dannette,Pinfish,PIN082,PIN082gc1,WO1,45517,shell,>0.1,mollusca,1,4,grouped with below made new ID for shell
BOEM,45573,Dannette,Pinfish,PIN082,PIN082gc2,WO1,45517,anchovy,1.1,anchovy,3,4,2 striped anchoy 1 shell
BOEM,45573,Dannette,Pinfish,PIN086,PIN086gc,WO1,45517,anchovy,1.2,anchovy,2,,2 sta heads
BOEM,45573,Lindsey,Pinfish,PIN090,PIN090gc,WO1,45517,anchovy,0.9,anchovy,2,,2 sta
BOEM,45601,Lindsey,Pinfish,PIN100,PIN100gc,EI1,45434,mush,1.4,unidentifiable mush ,- ,,
BOEM,45604,Dannette,Pinfish,PIN101,PIN101gc,EI1,45434,mush,0.1,unidentifiable mush ,- ,,
BOEM,45604,Dannette,Pinfish,PIN102,PIN102gc1,EI1,45434,mush,<0.1,biomatter,- ,,
BOEM,45604,Dannette,Pinfish,PIN102,PIN102gc2,EI1,45434,mush,0.4,crustacean,-,,
BOEM,45604,Dannette,Pinfish,PIN103,PIN103gc1,EI1,45434,mush,0.1,detritus,- ,,
BOEM,45604,Dannette,Pinfish,PIN103,PIN103gc2,EI1,45434,mush,0.5,crustacean,,,
BOEM,45604,Dannette,Pinfish,PIN104,PIN104gc,EI1,45434,mush,0.7,unidentifiable mush ,- ,,
BOEM,45604,Dannette,Pinfish,PIN105,PIN105gc,EI1,45434,mush,0.4,unidentifiable mush ,- ,,
BOEM,45607,EG,Atlantic Bumper,ATB002,ATB002gc,EI1,45434,mush,0.3,unidentifiable mush ,- ,,
BOEM,45607,EG,Atlantic Bumper,ATB003,ATB003gc1,EI1,45434,mush,0.1,biomatter,- ,,
BOEM,45607,EG,Atlantic Bumper,ATB003,ATB003gc2,EI1,45434,mush,0.1,crustacean,>10,,
BOEM,45607,EG,Atlantic Bumper,ATB004,ATB004gc,EI1,45434,mush,0.4,unidentifiable mush ,- ,,
BOEM,45607,EG,Atlantic Bumper,ATB005,ATB005gc,EI1,45434,mush,0.4,biomatter,- ,,
BOEM,45608,Dannette,Pinfish,PIN106,PIN106gc,EO1,45516,mush,0.4,unidentifiable mush ,- ,1,
BOEM,45608,Dannette,Pinfish,PIN108,PIN108gc1,EO1,45516,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45608,Dannette,Pinfish,PIN108,PIN108gc2,EO1,45516,unknown,0.2,detritus,-,2,solid
BOEM,45608,Dannette,Pinfish,PIN110,PIN110gc,EO1,45516,biomatter,0.8,biomatter,,2,larvae?
BOEM,45608,Lindsey,Pinfish,PIN107,PIN107gc,EO1,45516,mush,0.3,unidentifiable mush ,-,1,
BOEM,45608,Lindsey,Pinfish,PIN109,PIN109gc,EO1,45516,mush,<0.1,unidentifiable mush ,-,1,
BOEM,45608,Lindsey,Pinfish,PIN111,PIN111gc,EO1,45516,mush,0.2,unidentifiable mush ,-,1,
BOEM,45608,Lindsey,Atlantic Bumper,ATB006,ATB006gc,EO1,45517,anchovy,1.2,striped anchovy,3,3,good
BOEM,45608,Lindsey,Atlantic Bumper,ATB006,ATB006gc,EO1,45516,mush,0.6,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB007,ATB007gc,EO1,45516,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB008,ATB008gc,WO3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB010,ATB010gc,WO3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB011,ATB011gc,WO3,45517,mush,0.2,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB013,ATB013gc,WO3,45517,mush,<0.1,unidentifiable mush ,- ,1,
BOEM,45611,Dannette,Atlantic Bumper,ATB015,ATB015gc,WO3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,EG,Atlantic Bumper,ATB009,ATB009gc,WO3,45517,mush,0.7,unidentifiable mush ,- ,1,
BOEM,45611,EG,Atlantic Bumper,ATB012,ATB012gc,WO3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,EG,Atlantic Bumper,ATB014,ATB014gc,WO3,45517,mush,0.1,biomatter,- ,1,
BOEM,45611,EG,Atlantic Bumper,ATB016,ATB016gc,WO3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,EG,Atlantic Bumper,ATB017,ATB017gc,WI3,45517,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45611,EG,Thread Herring,THH029,THH029gc,WI3,45517,mush,0.2,unidentifiable mush ,- ,1,
BOEM,45614,EG,Atlantic Bumper,ATB018,ATB018gc,WI2,45516,mush,<0.1,unidentifiable mush ,- ,1,
BOEM,45614,EG,Atlantic Bumper,ATB019,ATB019gc,WI2,45516,mush,<0.1,biomatter,- ,1,
BOEM,45614,EG,Atlantic Bumper,ATB020,ATB020gc1,WI2,45516,mush,<0.1,biomatter,- ,1,
BOEM,45614,EG,Atlantic Bumper,ATB020,ATB020gc2,WI2,45516,mush,<0.1,veg_biomatter,-,,
BOEM,45614,EG,Moonfish,MOF001,MOF001gc,WI2,45516,mush,0.2,unidentifiable mush ,- ,1,
BOEM,45615,Dannette,Spot,SPO001,SPO001gc,WI2,45517,mush,0.6,unidentifiable mush ,- ,1,
BOEM,45615,Dannette,Spot,SPO002,SPO002gc,WI2,45517,mush,0.1,unidentifiable mush ,,1,
BOEM,45615,Dannette,Atlantic Bumper,ATB022,ATB022gc,WO2,45604,mush,0.1,unidentifiable mush ,- ,1,
BOEM,45615,Dannette,Spot,SPO005,SPO005gc,EI2,45434,mush,<0.1,unidentifiable mush ,- ,1,
