fish_species,prey_cats,n_stomachs_with_prey,n_stomachs_total,FOO_percent
Atlantic Bumper,crustacean,6,98,6.122448979591836
Atlantic Bumper,anchovy,1,98,1.0204081632653061
Atlantic Croaker,crustacean,21,168,12.5
Atlantic Croaker,polychaete,13,168,7.738095238095238
Atlantic Croaker,mollusca,5,168,2.976190476190476
Atlantic Croaker,anchovy,3,168,1.7857142857142856
Lizardfish,crustacean,3,14,21.428571428571427
Lizardfish,anchovy,2,14,14.285714285714285
Lizardfish,unidentifiable fish,1,14,7.142857142857142
Moonfish,crustacean,20,83,24.096385542168676
Pigfish,crustacean,1,13,7.6923076923076925
Pigfish,mollusca,1,13,7.6923076923076925
Pinfish,mollusca,13,191,6.806282722513089
Pinfish,crustacean,12,191,6.282722513089005
Pinfish,anchovy,5,191,2.6178010471204187
Pinfish,polychaete,4,191,2.094240837696335
Pinfish,echinoderm,2,191,1.0471204188481675
Spot,crustacean,3,108,2.7777777777777777
Spot,mollusca,1,108,0.9259259259259258
Striped Anchovy,crustacean,3,168,1.7857142857142856
Thread Herring,anchovy,1,102,0.9803921568627451
Weakfish,anchovy,2,20,10
