project,dissection_date,dissector,fish_species,fish_id,stomach_id,site,collection_date,prey_common_name,prey_wet_weight,prey_category,n_prey,prey_condition,notes,stomach_id_base,prey_wet_weight_g,prey_category_clean,has_weight,region,position,station
BOEM,45548,Dannette,Thread Herring,THH013,THH013gc,EI2,45516,anchovy,3.8,anchovy,11,3-4,good,THH013gc,3.8,anchovy,TRUE,East,Inner,2
BOEM,45559,Dannette,Pinfish,PIN039,PIN039gc,WO1,45435,snails,2,mollusca,20+,,,PIN039gc,2,mollusca,TRUE,West,Outer,1
BOEM,45569,Dannette,Pinfish,PIN072,PIN072gc,EI2,45434,biomatter,1.3,biomatter,,larvae?,,PIN072gc,1.3,biomatter,TRUE,East,Inner,2
BOEM,45572,EG,Pinfish,PIN079,PIN079gc,WI2,45517,anchovy,2.72,anchovy,8,,,PIN079gc,2.72,anchovy,TRUE,West,Inner,2
BOEM,45573,Dannette,Pinfish,PIN082,PIN082gc1,WO1,45517,shell,>0.1,mollusca,1,4,grouped with below made new ID for shell,PIN082gc,0.1,mollusca,TRUE,West,Outer,1
BOEM,45573,Dannette,Pinfish,PIN082,PIN082gc2,WO1,45517,anchovy,1.1,anchovy,3,4,2 striped anchoy 1 shell,PIN082gc,1.1,anchovy,TRUE,West,Outer,1
BOEM,45573,Dannette,Pinfish,PIN086,PIN086gc,WO1,45517,anchovy,1.2,anchovy,2,,2 sta heads,PIN086gc,1.2,anchovy,TRUE,West,Outer,1
BOEM,45573,Lindsey,Pinfish,PIN090,PIN090gc,WO1,45517,anchovy,0.9,anchovy,2,,2 sta,PIN090gc,0.9,anchovy,TRUE,West,Outer,1
BOEM,45601,Lindsey,Pinfish,PIN100,PIN100gc,EI1,45434,mush,1.4,unidentifiable mush,- ,,,PIN100gc,1.4,unidentifiable mush,TRUE,East,Inner,1
BOEM,45604,Dannette,Pinfish,PIN101,PIN100gc,EI1,45434,mush,0.1,unidentifiable mush,- ,,,PIN100gc,0.1,unidentifiable mush,TRUE,East,Inner,1
BOEM,45604,Dannette,Pinfish,PIN102,PIN100gc,EI1,45434,mush,0.4,unidentifiable mush,- ,,,PIN100gc,0.4,unidentifiable mush,TRUE,East,Inner,1
BOEM,45604,Dannette,Pinfish,PIN103,PIN100gc,EI1,45434,mush,0.6,unidentifiable mush,- ,,,PIN100gc,0.6,unidentifiable mush,TRUE,East,Inner,1
BOEM,45604,Dannette,Pinfish,PIN104,PIN100gc,EI1,45434,mush,0.7,unidentifiable mush,- ,,,PIN100gc,0.7,unidentifiable mush,TRUE,East,Inner,1
BOEM,45604,Dannette,Pinfish,PIN105,PIN100gc,EI1,45434,mush,0.4,unidentifiable mush,- ,,,PIN100gc,0.4,unidentifiable mush,TRUE,East,Inner,1
BOEM,45607,EG,Atlantic Bumper,ATB002,ATB002gc,EI1,45434,mush,0.3,unidentifiable mush,- ,,,ATB002gc,0.3,unidentifiable mush,TRUE,East,Inner,1
BOEM,45607,EG,Atlantic Bumper,ATB003,ATB003gc,EI1,45434,mush,0.2,unidentifiable mush,- ,,,ATB003gc,0.2,unidentifiable mush,TRUE,East,Inner,1
BOEM,45607,EG,Atlantic Bumper,ATB004,ATB004gc,EI1,45434,mush,0.4,unidentifiable mush,- ,,,ATB004gc,0.4,unidentifiable mush,TRUE,East,Inner,1
BOEM,45607,EG,Atlantic Bumper,ATB005,ATB005gc,EI1,45434,mush,0.4,biomatter,- ,,,ATB005gc,0.4,biomatter,TRUE,East,Inner,1
BOEM,45608,Dannette,Pinfish,PIN106,PIN106gc,EO1,45516,mush,0.4,unidentifiable mush,- ,1,,PIN106gc,0.4,unidentifiable mush,TRUE,East,Outer,1
BOEM,45608,Dannette,Pinfish,PIN108,PIN108gc1,EO1,45516,mush,0.1,unidentifiable mush,- ,1,,PIN108gc,0.1,unidentifiable mush,TRUE,East,Outer,1
BOEM,45608,Dannette,Pinfish,PIN108,PIN108gc2,EO1,45516,unknown,0.2,detritus,,2,solid,PIN108gc,0.2,detritus,TRUE,East,Outer,1
BOEM,45608,Dannette,Pinfish,PIN110,PIN110gc,EO1,45516,biomatter,0.8,biomatter,,2,larvae?,PIN110gc,0.8,biomatter,TRUE,East,Outer,1
BOEM,45608,Lindsey,Pinfish,PIN107,PIN107gc,EO1,45516,mush,0.3,unidentifiable mush,-,1,,PIN107gc,0.3,unidentifiable mush,TRUE,East,Outer,1
